Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Condition,Status
golden-argan-rose-youth-serum,سيروم الأركان الذهبي والورد النقّي — Golden Argan & Rose Serum,<p>سيروم ملكي مركز بزيت الأركان العضوي المقشر بقطرات الورد البلدي المغربي لتجديد خلايا البشرة وإعادة النضارة الفائقة.</p>,Natura Luxe Skincare,Beauty > Skin Care,Facial Serum,"Facial Skincare, Rare Oils, Best Sellers, سيروم, الأركان, الأكثر مبيعاً",TRUE,Title,Default Title,,,,,NAT-SKN-001,250,shopify,100,deny,manual,350.00,450.00,TRUE,FALSE,,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?q=80&w=800&auto=format&fit=crop,1,سيروم الأركان الذهبي والورد النقّي — Golden Argan & Rose Serum,FALSE,سيروم الأركان الذهبي والورد النقّي — Golden Argan & Rose Serum,سيروم الأركان الذهبي والورد النقّي — Golden Argan & Rose Serum,new,active
pure-prickly-pear-anti-aging-elixir,أكسير التين الشوكي الخالص للمقاومة والتجاعيد — Prickly Pear Elixir,<p>الإكسير الذهبي الأكثر ندرة في العالم. زيت بذور التين الشوكي المغربي المعصور على البارد 100% لتنعيم الخطوط الدقيقة وشد البشرة.</p>,Natura Luxe Skincare,Beauty > Skin Care,Rare Oils,"Rare Oils, Facial Skincare, Best Sellers, التين الشوكي, زيوت نادرة",TRUE,Title,Default Title,,,,,NAT-SKN-002,250,shopify,100,deny,manual,490.00,620.00,TRUE,FALSE,,https://images.unsplash.com/photo-1608248597266-c0c4515a4437?q=80&w=800&auto=format&fit=crop,1,أكسير التين الشوكي الخالص للمقاومة والتجاعيد — Prickly Pear Elixir,FALSE,أكسير التين الشوكي الخالص للمقاومة والتجاعيد — Prickly Pear Elixir,أكسير التين الشوكي الخالص للمقاومة والتجاعيد — Prickly Pear Elixir,new,active
pure-rose-chamomile-clarifying-toner,تونر مقشر ومُنعش بماء الورد والبابونج — Clarifying Rose Water Toner,<p>رذاذ منعش يوازن حموضة البشرة، يقلل من حجم المسام ويعزز امتصاص السيرومات بتركيبة ماء الورد المقطر عالي النقاء.</p>,Natura Luxe Skincare,Beauty > Skin Care,Toner,"Facial Skincare, Best Sellers, تونر, ماء الورد",TRUE,Title,Default Title,,,,,NAT-SKN-003,250,shopify,100,deny,manual,190.00,240.00,TRUE,FALSE,,https://images.unsplash.com/photo-1556228720-195a672e8a03?q=80&w=800&auto=format&fit=crop,1,تونر مقشر ومُنعش بماء الورد والبابونج — Clarifying Rose Water Toner,FALSE,تونر مقشر ومُنعش بماء الورد والبابونج — Clarifying Rose Water Toner,تونر مقشر ومُنعش بماء الورد والبابونج — Clarifying Rose Water Toner,new,active
orange-blossom-niacinamide-radiance-cream,كريم النياسيناميد وزهر البرتقال للإشراقة — Orange Blossom Cream,<p>مرطب ذو قوام حريري خفيف يدمج بين قوة النياسيناميد المقوية للحاجز الجلدي وعطر زهر البرتقال المغربي لتوحيد لون البشرة.</p>,Natura Luxe Skincare,Beauty > Skin Care,Face Cream,"Facial Skincare, Best Sellers, كريم, زهر البرتقال",TRUE,Title,Default Title,,,,,NAT-SKN-004,250,shopify,100,deny,manual,320.00,400.00,TRUE,FALSE,,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?q=80&w=800&auto=format&fit=crop,1,كريم النياسيناميد وزهر البرتقال للإشراقة — Orange Blossom Cream,FALSE,كريم النياسيناميد وزهر البرتقال للإشراقة — Orange Blossom Cream,كريم النياسيناميد وزهر البرتقال للإشراقة — Orange Blossom Cream,new,active
chamomile-oat-gentle-hydrating-cleanser,منظف الوجه بالبابونج الشافي والشوفان — Gentle Hydrating Cleanser,<p>منظف رغوي لطيف خالٍ من الكبريتات يزيل الشوائب والمكياج دون تجفيف البشرة، مخصص للبشرة الحساسة والجافة.</p>,Natura Luxe Skincare,Beauty > Skin Care,Cleanser,"Facial Skincare, منظف البشرة, بابونج",TRUE,Title,Default Title,,,,,NAT-SKN-005,250,shopify,100,deny,manual,210.00,270.00,TRUE,FALSE,,https://images.unsplash.com/photo-1556228722-d1191d098e9b?q=80&w=800&auto=format&fit=crop,1,منظف الوجه بالبابونج الشافي والشوفان — Gentle Hydrating Cleanser,FALSE,منظف الوجه بالبابونج الشافي والشوفان — Gentle Hydrating Cleanser,منظف الوجه بالبابونج الشافي والشوفان — Gentle Hydrating Cleanser,new,active
atlas-clay-activated-charcoal-detox-mask,قناع الطين الأطلسي والفحم المنشط — Atlas Clay Detox Mask,<p>قناع الطين البركاني الأطلسي الغني بالمعادن والفحم المنشط لتنقية المسام والتخلص من سموم الجلد والزيوت الزائدة.</p>,Natura Luxe Skincare,Beauty > Skin Care,Face Mask,"Facial Skincare, قناع الوجه, طين أطلسي",TRUE,Title,Default Title,,,,,NAT-SKN-006,250,shopify,100,deny,manual,260.00,330.00,TRUE,FALSE,,https://images.unsplash.com/photo-1567928256057-0a2578508e70?q=80&w=800&auto=format&fit=crop,1,قناع الطين الأطلسي والفحم المنشط — Atlas Clay Detox Mask,FALSE,قناع الطين الأطلسي والفحم المنشط — Atlas Clay Detox Mask,قناع الطين الأطلسي والفحم المنشط — Atlas Clay Detox Mask,new,active
atlas-saffron-multi-hyaluronic-dew-serum,سيروم الهيالورونيك مع الزعفران الحر — Atlas Saffron Dew Serum,<p>سيروم ترطيب عميق بـ 4 أوزان جزيئية للهيالورونيك مستخلص مع مضادات الأكسدة النادرة لزعفران تاليوين الأصيل.</p>,Natura Luxe Skincare,Beauty > Skin Care,Facial Serum,"Facial Skincare, Best Sellers, زعفران, هيالورونيك",TRUE,Title,Default Title,,,,,NAT-SKN-007,250,shopify,100,deny,manual,380.00,480.00,TRUE,FALSE,,https://images.unsplash.com/photo-1617897903246-719242758050?q=80&w=800&auto=format&fit=crop,1,سيروم الهيالورونيك مع الزعفران الحر — Atlas Saffron Dew Serum,FALSE,سيروم الهيالورونيك مع الزعفران الحر — Atlas Saffron Dew Serum,سيروم الهيالورونيك مع الزعفران الحر — Atlas Saffron Dew Serum,new,active
eucalyptus-mint-botanical-body-oil,زيت الجسم الملكي باليوكاليبتوس والنعناع — Botanical Body Oil,<p>زيت جسم غني وسريع الامتصاص يجمع بين خواص الاسترخاء المنعشة لليوكتليبتوس والنعناع المغربي لتنعيم البشرة المرهقة.</p>,Natura Luxe Skincare,Beauty > Skin Care,Body Oil,"Body Care, زيت الجسم, يوكاليبتوس",TRUE,Title,Default Title,,,,,NAT-BDY-008,250,shopify,100,deny,manual,280.00,350.00,TRUE,FALSE,,https://images.unsplash.com/photo-1608248597266-c0c4515a4437?q=80&w=800&auto=format&fit=crop,1,زيت الجسم الملكي باليوكاليبتوس والنعناع — Botanical Body Oil,FALSE,زيت الجسم الملكي باليوكاليبتوس والنعناع — Botanical Body Oil,زيت الجسم الملكي باليوكاليبتوس والنعناع — Botanical Body Oil,new,active
royal-black-soap-scrub-herbal-infusion,مقشر الصابون البلدي الملكي بالأعشاب — Royal Moroccan Black Soap,<p>مقشر الصابون الأسود التقليدي المعزز بعصارة الزيتون والأعشاب الجبلية لتنظيف وتنعيم الجسم على طريقة الحمام المغربي الملكي.</p>,Natura Luxe Skincare,Beauty > Skin Care,Body Scrub,"Body Care, Best Sellers, صابون بلدي, حمام مغربي",TRUE,Title,Default Title,,,,,NAT-BDY-009,250,shopify,100,deny,manual,180.00,230.00,TRUE,FALSE,,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?q=80&w=800&auto=format&fit=crop,1,مقشر الصابون البلدي الملكي بالأعشاب — Royal Moroccan Black Soap,FALSE,مقشر الصابون البلدي الملكي بالأعشاب — Royal Moroccan Black Soap,مقشر الصابون البلدي الملكي بالأعشاب — Royal Moroccan Black Soap,new,active
rich-shea-argan-velvet-body-butter,زبدة الشيا والأركان لترطيب الجسم العميق — Velvet Body Butter,<p>زبدة مخملية فاخرة تغذي البشرة شديدة الجفاف وتعيد إليها مرونتها بتركيبتها المغذية من الشيا الخام وزيت الأركان.</p>,Natura Luxe Skincare,Beauty > Skin Care,Body Butter,"Body Care, زبدة الجسم, الشيا, الأركان",TRUE,Title,Default Title,,,,,NAT-BDY-010,250,shopify,100,deny,manual,290.00,370.00,TRUE,FALSE,,https://images.unsplash.com/photo-1567928256057-0a2578508e70?q=80&w=800&auto=format&fit=crop,1,زبدة الشيا والأركان لترطيب الجسم العميق — Velvet Body Butter,FALSE,زبدة الشيا والأركان لترطيب الجسم العميق — Velvet Body Butter,زبدة الشيا والأركان لترطيب الجسم العميق — Velvet Body Butter,new,active
